IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
L,1995,,1995,Afghanistan,AFG,Afghanistan,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,47.96,0,23.06,163.07,700,36,3.22,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,0.38,12.13,647500,46.6,"Low (
0.206 - 0.498)",1/1/1995,,1,0,Afghanistan,Afghanistan,Afghanistan,0.22,20.34,0.179,700,,169,169,0.24,163.07,36,23.06,1,87.65,3.22,47.96,31056997,ASIA (EX. NEAR EAST),0.38,1995,1995
L,1995,,1995,Albania,ALB,Albania,Albania,EASTERN EUROPE,3581655,28748,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,0.232,21.09,28748,15.11,Low-Medium (0.498 - 0.659),1/1/1995,,3,1.26,Albania,Albania,Albania,4.42,5.22,0.551,4500,,75,75,0.188,21.52,86.5,-4.93,1,74.49,71.2,124.59,3581655,EASTERN EUROPE,0.579,1995,1995
LM,1995,0.68,1995,Algeria,DZA,Algeria,Algeria,NORTHERN AFRICA,32930091,2381740,13.83,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298,0.101,3.22,2381740,17.14,"Low (
0.206 - 0.498)",1/1/1995,1.577726218,1,0.04,Algeria,Algeria,Algeria,0.25,4.61,0.431,6000,0.68,83,83,0.6,31,70,-0.39,1,96.53,78.1,13.83,32930091,NORTHERN AFRICA,0.298,1995,1995
UM,1995,0.431,1995,Argentina,ARG,Argentina,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,0.095,12.31,2766890,16.73,Low-Medium (0.498 - 0.659),1/1/1995,0.665123457,3,0.18,Argentina,Argentina,Argentina,0.48,7.55,0.648,11200,0.431,45,45,0.358,15.18,97.1,0.61,1,87.21,220.43,14.43,39921833,LATIN AMER. & CARIB,0.547,1995,1995
L,1995,0.471,1995,Armenia,ARM,Armenia,Armenia,C.W. OF IND. STATES,2976372,29800,99.88,0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,0.239,17.55,29800,12.07,Low-Medium (0.498 - 0.659),1/1/1995,0.745253165,4,0,Armenia,Armenia,Armenia,2.3,8.23,0.632,3500,0.471,84,84,0.343,23.28,98.6,-6.47,1,80.15,195.71,99.88,2976372,C.W. OF IND. STATES,0.418,1995,1995
H,1995,0.18,1995,Australia,AUS,Australia,Australia,OCEANIA,20264082,7686850,2.64,0.34,3.98,4.69,29000,100,565.53,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,0.038,6.55,7686850,12.14,High (0.780 - 0.939),1/1/1995,0.201342282,1,0.34,Australia,Australia,Australia,0.04,7.51,0.894,29000,0.18,2,2,0.262,4.69,100,3.98,1,93.41,565.53,2.64,20264082,OCEANIA,0.7,1995,1995
H,1995,0.187,1995,Austria,AUT,Austria,Austria,WESTERN EUROPE,8192880,83870,97.69,0,2,4.66,30000,98,452.22,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,0.018,16.91,83870,8.74,Upper-Medium (0.659 - 0.780),1/1/1995,0.263751763,3,0,Austria,Austria,Austria,0.86,9.76,0.709,30000,0.187,24,24,0.304,4.66,98,2,1,82.23,452.22,97.69,8192880,WESTERN EUROPE,0.678,1995,1995
L,1995,,1995,Azerbaijan,AZE,Azerbaijan,Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.94,0,-4.9,81.74,3400,97,137.08,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402,0.141,19.63,86600,20.74,Low-Medium (0.498 - 0.659),1/1/1995,,1,0,Azerbaijan,Azerbaijan,Azerbaijan,2.71,9.75,0.618,3400,,78,78,0.457,81.74,97,-4.9,1,77.66,137.08,91.94,7961619,C.W. OF IND. STATES,0.402,1995,1995
H,1995,,1995,Bahamas,BHS,Bahamas,Bahamas,LATIN AMER. & CARIB,303770,13940,21.79,25.41,-2.2,25.21,16700,95.6,460.55,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,0.03,0.8,13940,17.57,,1/1/1995,,2,25.41,Bahamas,Bahamas,Bahamas,0.4,9.05,,16700,,58,58,0.07,25.21,95.6,-2.2,1,98.8,460.55,21.79,303770,LATIN AMER. & CARIB,0.9,1995,1995
UM,1995,,1995,Bahrain,BHR,Bahrain,Bahrain,NEAR EAST,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.28,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,0.005,2.82,665,17.8,Low-Medium (0.498 - 0.659),1/1/1995,,1,24.21,Bahrain,Bahrain,Bahrain,5.63,4.14,0.619,16900,,47,47,0.387,17.27,89.1,1.05,1,91.55,281.28,1050.5,698585,NEAR EAST,0.608,1995,1995
