%GDP expenditure on Education,Year-1,GII,Year,HDI Rank (2015),Country,F4,F6,F8,F10,F12,F14,F16,F18,Country-1,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,HDI Rank (2015)-1,Country-2,F4-1,F6-1,F8-1,F10-1,F12-1,F14-1,F16-1,F18-1
,1995,,1995,169,Afghanistan,,,,,,,,,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,47.96,0,23.06,163.07,700,36,3.22,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,169,Afghanistan,,,,,,,,
3.8,1995,,1995,75,Albania,,,,,,,,,Albania,EASTERN EUROPE,3581655,28748,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,75,Albania,,,,,,,,
,1995,0.431,1995,45,Argentina, a,,,,,,,,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,45,Argentina,,,,,,,,
,1995,0.471,1995,84,Armenia, a,,,,,,,,Armenia,C.W. OF IND. STATES,2976372,29800,99.88,0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,84,Armenia,,,,,,,,
5.1,1995,0.18,1995,2,Australia, a,,,,,,,,Australia,OCEANIA,20264082,7686850,2.64,0.34,3.98,4.69,29000,100,565.53,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,2,Australia,,,,,,,,
5.4,1995,0.187,1995,24,Austria, a,,,,,,,,Austria,WESTERN EUROPE,8192880,83870,97.69,0,2,4.66,30000,98,452.22,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,24,Austria,,,,,,,,
3.3,1995,,1995,78,Azerbaijan,,,,,,,,,Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.94,0,-4.9,81.74,3400,97,137.08,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402,78,Azerbaijan,,,,,,,,
,1995,,1995,58,Bahamas,,,,,,,,,Bahamas,LATIN AMER. & CARIB,303770,13940,21.79,25.41,-2.2,25.21,16700,95.6,460.55,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,58,Bahamas,,,,,,,,
,1995,,1995,47,Bahrain,,,,,,,,,Bahrain,NEAR EAST,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.28,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,47,Bahrain,,,,,,,,
,1995,0.656,1995,139,Bangladesh, a,,,,,,,,Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,1023.37,0.4,-0.71,62.6,1900,43.1,7.26,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603,139,Bangladesh,,,,,,,,
