Income Bucket,Year-1,GII,Year,Date,Country,Code,Country-1
L,1995,null,1995,1/1/95,Afghanistan,AFG,Afghanistan
L,1995,null,1995,1/1/95,Albania,ALB,Albania
LM,1995,0.68,1995,1/1/95,Algeria,DZA,Algeria
UM,1995,0.431,1995,1/1/95,Argentina,ARG,Argentina
L,1995,0.471,1995,1/1/95,Armenia,ARM,Armenia
H,1995,0.18,1995,1/1/95,Australia,AUS,Australia
H,1995,0.187,1995,1/1/95,Austria,AUT,Austria
L,1995,null,1995,1/1/95,Azerbaijan,AZE,Azerbaijan
H,1995,null,1995,1/1/95,Bahamas,BHS,Bahamas
UM,1995,null,1995,1/1/95,Bahrain,BHR,Bahrain
L,1995,0.656,1995,1/1/95,Bangladesh,BGD,Bangladesh
UM,1995,0.372,1995,1/1/95,Barbados,BRB,Barbados
LM,1995,null,1995,1/1/95,Belarus,BLR,Belarus
H,1995,0.163,1995,1/1/95,Belgium,BEL,Belgium
LM,1995,0.515,1995,1/1/95,Belize,BLZ,Belize
L,1995,0.682,1995,1/1/95,Benin,BEN,Benin
L,1995,null,1995,1/1/95,Bhutan,BTN,Bhutan
LM,1995,null,1995,1/1/95,Bolivia,BOL,Bolivia
L,1995,null,1995,1/1/95,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
LM,1995,0.551,1995,1/1/95,Botswana,BWA,Botswana
UM,1995,0.509,1995,1/1/95,Brazil,BRA,Brazil
LM,1995,0.373,1995,1/1/95,Bulgaria,BGR,Bulgaria
L,1995,null,1995,1/1/95,Burundi,BDI,Burundi
L,1995,0.66,1995,1/1/95,Cambodia,KHM,Cambodia
L,1995,0.703,1995,1/1/95,Cameroon,CMR,Cameroon
H,1995,0.184,1995,1/1/95,Canada,CAN,Canada
L,1995,0.74,1995,1/1/95,Central African Republic,CAF,Central African Republic
L,1995,null,1995,1/1/95,Chad,TCD,Chad
UM,1995,0.476,1995,1/1/95,Chile,CHL,Chile
L,1995,null,1995,1/1/95,China,CHN,China
LM,1995,0.538,1995,1/1/95,Colombia,COL,Colombia
L,1995,0.709,1995,1/1/95,Côte d'Ivoire,CIV,Côte d'Ivoire
UM,1995,0.28,1995,1/1/95,Croatia,HRV,Croatia
LM,1995,0.428,1995,1/1/95,Cuba,CUB,Cuba
H,1995,0.347,1995,1/1/95,Cyprus,CYP,Cyprus
UM,1995,0.252,1995,1/1/95,Czech Republic,CZE,Czech Republic
H,1995,0.102,1995,1/1/95,Denmark,DNK,Denmark
LM,1995,0.571,1995,1/1/95,Dominican Republic,DOM,Dominican Republic
LM,1995,0.589,1995,1/1/95,Ecuador,ECU,Ecuador
LM,1995,0.386,1995,1/1/95,Estonia,EST,Estonia
L,1995,null,1995,1/1/95,Ethiopia,ETH,Ethiopia
LM,1995,0.499,1995,1/1/95,Fiji,FJI,Fiji
H,1995,0.103,1995,1/1/95,Finland,FIN,Finland
H,1995,0.22,1995,1/1/95,France,FRA,France
UM,1995,0.606,1995,1/1/95,Gabon,GAB,Gabon
L,1995,0.426,1995,1/1/95,Georgia,GEO,Georgia
H,1995,0.156,1995,1/1/95,Germany,DEU,Germany
L,1995,0.626,1995,1/1/95,Ghana,GHA,Ghana
UM,1995,0.283,1995,1/1/95,Greece,GRC,Greece
LM,1995,0.596,1995,1/1/95,Guatemala,GTM,Guatemala
L,1995,null,1995,1/1/95,Guyana,GUY,Guyana
L,1995,null,1995,1/1/95,Haiti,HTI,Haiti
L,1995,null,1995,1/1/95,Honduras,HND,Honduras
UM,1995,0.322,1995,1/1/95,Hungary,HUN,Hungary
H,1995,0.184,1995,1/1/95,Iceland,ISL,Iceland
L,1995,0.687,1995,1/1/95,India,IND,India
LM,1995,0.578,1995,1/1/95,Indonesia,IDN,Indonesia
LM,1995,0.658,1995,1/1/95,Iraq,IRQ,Iraq
H,1995,0.202,1995,1/1/95,Ireland,IRL,Ireland
H,1995,0.244,1995,1/1/95,Israel,ISR,Israel
H,1995,0.198,1995,1/1/95,Italy,ITA,Italy
LM,1995,0.48,1995,1/1/95,Jamaica,JAM,Jamaica
H,1995,0.159,1995,1/1/95,Japan,JPN,Japan
LM,1995,0.674,1995,1/1/95,Jordan,JOR,Jordan
LM,1995,0.449,1995,1/1/95,Kazakhstan,KAZ,Kazakhstan
L,1995,0.708,1995,1/1/95,Kenya,KEN,Kenya
H,1995,0.585,1995,1/1/95,Kuwait,KWT,Kuwait
LM,1995,0.41,1995,1/1/95,Latvia,LVA,Latvia
LM,1995,null,1995,1/1/95,Lebanon,LBN,Lebanon
LM,1995,0.577,1995,1/1/95,Lesotho,LSO,Lesotho
L,1995,null,1995,1/1/95,Liberia,LBR,Liberia
UM,1995,null,1995,1/1/95,Libya,LBY,Libya
LM,1995,0.325,1995,1/1/95,Lithuania,LTU,Lithuania
H,1995,0.2,1995,1/1/95,Luxembourg,LUX,Luxembourg
L,1995,0.719,1995,1/1/95,Malawi,MWI,Malawi
UM,1995,0.398,1995,1/1/95,Malaysia,MYS,Malaysia
LM,1995,0.649,1995,1/1/95,Maldives,MDV,Maldives
L,1995,0.726,1995,1/1/95,Mali,MLI,Mali
UM,1995,0.331,1995,1/1/95,Malta,MLT,Malta
L,1995,0.809,1995,1/1/95,Mauritania,MRT,Mauritania
UM,1995,0.479,1995,1/1/95,Mauritius,MUS,Mauritius
UM,1995,0.508,1995,1/1/95,Mexico,MEX,Mexico
LM,1995,0.486,1995,1/1/95,Moldova,MDA,Moldova
L,1995,0.5,1995,1/1/95,Mongolia,MNG,Mongolia
..,1995,null,1995,1/1/95,Montenegro,MNE,Montenegro
LM,1995,0.713,1995,1/1/95,Morocco,MAR,Morocco
L,1995,0.664,1995,1/1/95,Mozambique,MOZ,Mozambique
L,1995,null,1995,1/1/95,Myanmar,MMR,Myanmar
LM,1995,0.555,1995,1/1/95,Namibia,NAM,Namibia
L,1995,0.71,1995,1/1/95,Nepal,NPL,Nepal
H,1995,0.113,1995,1/1/95,Netherlands,NLD,Netherlands
L,1995,0.629,1995,1/1/95,Nicaragua,NIC,Nicaragua
L,1995,0.831,1995,1/1/95,Niger,NER,Niger
H,1995,0.122,1995,1/1/95,Norway,NOR,Norway
UM,1995,null,1995,1/1/95,Oman,OMN,Oman
L,1995,0.766,1995,1/1/95,Pakistan,PAK,Pakistan
LM,1995,0.517,1995,1/1/95,Panama,PAN,Panama
LM,1995,0.668,1995,1/1/95,Papua New Guinea,PNG,Papua New Guinea
