IncomeBucket,Year-1,GII,Year,Country,Code,Region,EducationIndexBucket,Date,GIvsEI,Country-3,Country-4,EI,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Year-2,Year-3,FedPercent,GDPPercent,Year-4,HDI Rank (2015),Country-1,Region-1
L,1995,,1995,Afghanistan,AFG,ASIA (EX. NEAR EAST),Low (0.206 - 0.498),1/1/95,,Afghanistan,Afghanistan,0.179,36,23.06,1,87.65,3.22,47.96,1995,1995,null,null,1995,169,Afghanistan,ASIA (EX. NEAR EAST)
L,1995,,1995,Albania,ALB,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,,Albania,Albania,0.551,86.5,-4.93,1,74.49,71.2,124.59,1995,1995,null,3.8,1995,75,Albania,EASTERN EUROPE
UM,1995,0.431,1995,Argentina,ARG,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.665123457,Argentina,Argentina,0.648,97.1,0.61,1,87.21,220.43,14.43,1995,1995,22.8,null,1995,45,Argentina,LATIN AMER. & CARIB
L,1995,0.471,1995,Armenia,ARM,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/95,0.745253165,Armenia,Armenia,0.632,98.6,-6.47,1,80.15,195.71,99.88,1995,1995,6.3,null,1995,84,Armenia,C.W. OF IND. STATES
H,1995,0.18,1995,Australia,AUS,OCEANIA,High (0.780 - 0.939),1/1/95,0.201342282,Australia,Australia,0.894,100,3.98,1,93.41,565.53,2.64,1995,1995,20.5,5.1,1995,2,Australia,OCEANIA
H,1995,0.187,1995,Austria,AUT,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.263751763,Austria,Austria,0.709,98,2,1,82.23,452.22,97.69,1995,1995,24.7,5.4,1995,24,Austria,WESTERN EUROPE
L,1995,,1995,Azerbaijan,AZE,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/95,,Azerbaijan,Azerbaijan,0.618,97,-4.9,1,77.66,137.08,91.94,1995,1995,12,3.3,1995,78,Azerbaijan,C.W. OF IND. STATES
H,1995,,1995,Bahamas,BHS,LATIN AMER. & CARIB,,1/1/95,,Bahamas,Bahamas,,95.6,-2.2,1,98.8,460.55,21.79,1995,1995,19.6,null,1995,58,Bahamas,LATIN AMER. & CARIB
UM,1995,,1995,Bahrain,BHR,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/95,,Bahrain,Bahrain,0.619,89.1,1.05,1,91.55,281.28,1050.5,1995,1995,null,null,1995,47,Bahrain,NEAR EAST
L,1995,0.656,1995,Bangladesh,BGD,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,2.246575342,Bangladesh,Bangladesh,0.292,43.1,-0.71,1,34.82,7.26,1023.37,1995,1995,9.1,null,1995,139,Bangladesh,ASIA (EX. NEAR EAST)
UM,1995,0.372,1995,Barbados,BRB,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/95,0.563636364,Barbados,Barbados,0.66,97.4,-0.31,1,60.46,481.94,649.45,1995,1995,18.4,null,1995,54,Barbados,LATIN AMER. & CARIB
LM,1995,,1995,Belarus,BLR,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/95,,Belarus,Belarus,0.63,99.6,2.54,1,69.85,319.08,49.58,1995,1995,null,null,1995,52,Belarus,C.W. OF IND. STATES
H,1995,0.163,1995,Belgium,BEL,WESTERN EUROPE,High (0.780 - 0.939),1/1/95,0.202736318,Belgium,Belgium,0.804,98,1.23,1,76.32,462.57,339.99,1995,1995,15.8,3,1995,22,Belgium,WESTERN EUROPE
LM,1995,0.515,1995,Belize,BLZ,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.834683955,Belize,Belize,0.617,94.1,0,1,95.44,115.73,12.53,1995,1995,10.8,null,1995,103,Belize,LATIN AMER. & CARIB
L,1995,0.682,1995,Benin,BEN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,2.90212766,Benin,Benin,0.235,40.9,0,1,79.52,9.7,69.82,1995,1995,7.2,null,1995,167,Benin,SUB-SAHARAN AFRICA
L,1995,,1995,Bhutan,BTN,ASIA (EX. NEAR EAST),,1/1/95,,Bhutan,Bhutan,,42.2,0,1,96.48,14.34,48.5,1995,1995,2,null,1995,132,Bhutan,ASIA (EX. NEAR EAST)
